id,name,version,rarity,rate,start_date,end_date,is_rerun,is_limited,banner_image
211,Biwa Hayahide,Mecha,3*,0.1764,30/04/2025,21/05/2025,TRUE,FALSE,
212,Gold Ship,Project L'Arc,3*,0.1764,30/04/2025,21/05/2025,TRUE,FALSE,
213,Hishi Miracle,,3*,0.1764,30/04/2025,21/05/2025,TRUE,FALSE,
214,Tamamo Cross,Festival,3*,0.1764,30/04/2025,21/05/2025,TRUE,FALSE,
215,Gold Ship,Summer,3*,0.1764,30/04/2025,21/05/2025,TRUE,FALSE,
216,Mejiro McQueen,Summer,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
217,Curren Chan,Wedding,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
218,Seiun Sky,Ballroom,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
219,Tamamo Cross,,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
220,Biwa Hayahide,Christmas,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
221,Oguri Cap,Christmas,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
222,Seiun Sky,,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
223,Curren Chan,,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
224,Mejiro McQueen,Anime Collab,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
225,Biwa Hayahide,,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
226,Mejiro McQueen,,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
227,Oguri Cap,,3*,0.1765,30/04/2025,21/05/2025,TRUE,FALSE,
228,Verxina,,3*,0.75,12/05/2025,21/05/2025,FALSE,TRUE,
229,Loves Only You,,3*,0.75,21/05/2025,30/05/2025,FALSE,TRUE,
230,Cesario,Wedding,3*,0.75,30/05/2025,13/06/2025,FALSE,TRUE,
231,Mejiro Ramonu,Wedding,3*,0.75,30/05/2025,13/06/2025,FALSE,TRUE,
232,Chrono Genesis,,3*,0.75,13/06/2025,11/07/2025,FALSE,TRUE,
233,Gold City,Deserted Island,3*,0.75,27/06/2025,22/07/2025,FALSE,TRUE,
234,Ines Fujin,Deserted Island,3*,0.75,11/07/2025,22/07/2025,FALSE,TRUE,
235,Fusaichi Pandora,,3*,0.75,22/07/2025,31/07/2025,FALSE,TRUE,
236,Cheval Grand,Summer,3*,0.75,31/07/2025,14/08/2025,FALSE,TRUE,
237,Satono Crown,Summer,3*,0.75,31/07/2025,14/08/2025,FALSE,TRUE,
238,Vivlos,Summer,3*,0.75,14/08/2025,24/08/2025,FALSE,TRUE,
239,Still in Love,,3*,0.75,24/08/2025,19/09/2025,FALSE,TRUE,
240,Hishi Miracle,Alt Version,3*,0.75,29/08/2025,09/09/2025,FALSE,TRUE,
241,K.S.Miracle,Alt Version,3*,0.75,29/08/2025,09/09/2025,FALSE,TRUE,
242,Espoir City,,3*,0.75,09/09/2025,19/09/2025,FALSE,TRUE,
243,Believe,,3*,0.75,19/09/2025,29/09/2025,FALSE,TRUE,
244,Marvelous Sunday,Halloween,3*,0.75,29/09/2025,10/10/2025,FALSE,TRUE,
245,Hishi Akebono,Halloween,3*,0.75,29/09/2025,10/10/2025,FALSE,TRUE,
246,Tosen Jordan,Halloween,3*,0.75,10/10/2025,20/10/2025,FALSE,TRUE,
247,Dantsu Flame,,3*,0.75,18/10/2025,29/10/2025,FALSE,TRUE,
248,Jungle Pocket,,3*,0.75,18/10/2025,29/10/2025,TRUE,FALSE,
249,Transcend,Alt Version,3*,0.75,29/10/2025,19/11/2025,FALSE,TRUE,
250,Wonder Acute,Onsen,3*,0.75,10/11/2025,19/11/2025,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30386.png
